SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
1,Kenome Technologies Pvt Ltd,AI Analytics,Enterprise Solutions,AI> Statstical Analysis > Robotic Process,"24, 3rd Fl. Comfort Towers (SBI Building), 10th Cross, Wilson Garden",Bangalore,560027,1,16,9-Aug-17,4.2,1,16,4,,,,,,31-Dec-18,,,,3.7
2,"
Inmobi Technology Services Pvt Ltd",Marketing,Enterprise Solutions,AI>Marketing > Chatbot/Robotic Process,"6th, 7th and 8th Floor, Block Delta (Block B), Embassy Tech Square, Kadubeesanahalli Village Outer Ring Road, Varthur Hobli",Bangalore,560103,3,13,19-Oct-06,15.0,,,,,,,,,,,,,3.0
3,Greetude Energy Pvt Ltd,Energy,Cleantech,,"
10th Floor, Delta Block,
Sigma Software Technology Park,
Varthur Lake Road, Whitefield",Bangalore,560066,3,10,19-Jul-14,7.2,4,,,,,,,,,,,,2.2
4,Ecolibrium energy Pvt Ltd,Energy,Cleantech,Machine Learning> Data Classification,"F-101, Wilson Manor 13th cross, Wilson Garden ",Bangalore,560027,1,21,4-Nov-08,13.0,,,,,,,,4.2,04-Jul-17,,,,3.9
5,Pluggx Technologies Llp,Iot,Automation & Services,IOT> Home Automation,"# 7/4, Flat No B1, R.S Mansion, Devegowda Road, Dinnur Main Road, R T Nagar,",Bangalore,560032,,,8-Nov-13,7.9,,,,,,,,,,,,,0.8
6,Thingscloud Technologies Pvt Ltd,Cleantech,Automation & Services,IOT> AI> Home Automation,"#5, 2nd Floor, AC-720, 5th A Cross, HRBR Ist Block, Kalyananagar",Bangalore,560043,3,14,9-Jul-15,6.3,28,,3,,,3,Seed,0.526,24-Jun-17,,,156,8.0
7,Lightmetrics Technologies Private Limited,Iot,EnterpriseTech,IOT>ML> Automobile > Computer Vision,"3014, Sobha Dahlia Bellandur Outer Ring Road",Bangalore,560103,3,13,10-Feb-15,6.7,,,,,,,,,,,,,2.2
8,Uncanny Vision Solutions Pvt Ltd,AI,Computer vision,Image Processing > Computer Vision,"No 37, GINSERV, Leela Palace Rd, Kodihalli",Bangalore,560008,2,17,1-Nov-11,10.0,42,,4,,,1,Growing,1.47,25-Jun-20,,,632,19.1
9,Enterox Systems (opc) Pvt Ltd,Iot,Enterprise Solutions,IOT> Enterprise Solution,"#5, Enterox Circle,
7th Cross, 22nd Main,
HSR layout Sector 1,",Bangalore,560102,1,16,2-Nov-15,6.0,3,,,,,,,,,,,,2.5
10,Artivatic Data Labs Pvt Ltd,AI,Enterprise Solutions,AI > Enterprise Solution,"25 & 26, 2nd Floor, AVS Compound, 80 Feet Road, Koramangala 4th Block",Bangalore,560034,3,8,26-Sep-16,5.1,,,,,,,,10,26-Sep-17,,,,2.5
